Languages:5
Ger: "Aufpassen, der fÑhrt wie ein Irrer!"
Filename:       SGTHISIS
Eng: "This is a restricted area!  Leave immediately!" 
Fre: "Cette zone est interdite. Partez tout de suite !"
Ita: "Questa ä una zona vietata! Andatevene immediatamente!"
Spa: "≠Esta es una zona de acceso restringido! ≠Salga de aqu° inmediatamente!"
Ger: "Der Zutritt hier ist beschrÑnkt! Gehen Sie!"
Filename:       SGDROPTK
Eng: "Drop that knife before I shoot you!"
Fre: LÉchez ce couteau ou je tire !"
Ita: "Gettate quel coltello prima che vi spari!"
Spa: "≠Deje caer ese cuchillo o le pego un tiro!"
Ger: "Lassen Sie das Messer fallen, oder ich schie·e!"
Filename:       SPGOODWO
Eng: "Good work Red - you've picked up the guard's uniform and rifle.  The uniform should allow you to infiltrate enemy territory without being noticed.  Press the 'Q' key to select the uniform and the 'Return' key to use it.  Press the 'E' or the '3' key to select the rifle and press fire to use it."
Fre: "Beau travail, Red ! Vous avez pris l'uniforme et l'arme du garde. L'uniforme devrait vous permettre de pÇnÇtrer en territoire ennemi sans vous faire repÇrer. Appuyez sur la touche 'A' pour sÇlectionner l'uniforme et sur 'Retour' pour l'utiliser. Appuyez sur la touche 'E' ou '3' pour sÇlectionner le fusil et appuyez sur la touche de tir pour l'utiliser."
Ita: "Buon lavoro Red; vi siete guadagnato l'uniforme e il fucile della guardia. L'uniforme vi permetterÖ di infiltrarvi nel territorio nemico senza destare sospetti. Premete il tasto 'Q' per selezionare l'uniforme e il tasto 'Invio' per usarla. Premete i tasti 'E' o '3' per selezionare il fucile e premete fuoco per usarlo."
Spa: "≠Buen trabajo, Red! Ha cogido el uniforme y el rifle del guardia. El uniforme deber°a permitirle infiltrarse en territorio enemigo sin ser detectado. Pulse la tecla 'Q' para seleccionar el uniforme y la tecla 'retorno' para usarlo. Pulse la tecla 'E' o '3' para seleccionar el rifle, y pulse fuego para disparar con Çl."
Ger: "Gute Arbeit, Red - Sie haben die Uniform und das Gewehr der Wache. Mit der Uniform dÅrften Sie unbemerkt in gegnerisches Gebiet eindringen kînnen. DrÅcken Sie die Taste 'Q', um die Uniform zu wÑhlen, und die Eingabetaste, um sie zu benutzen. DrÅcken Sie die Taste 'E' oder '3', um das Gewehr zu wÑhlen, und 'Feuer', um es zu benutzen."
Filename:       SRANALMO
Eng: "Hmm, the old fool's vodka - the guard won't be needing this any more..."
Fre: "Hum ! La vodka de l'abruti. Le garde n'en aura plus besoin..."
Ita: "Mm, la vodka di quel vecchio imbecille; la guardia non ne avrÖ pió bisogno..."
Spa: "≠Mmmm, el vodka de ese viejo est£pido! ≠Al guardia no va a hacerle ya ninguna falta...!
Ger: "Hmm, der Wodka vom alten Trottel - den braucht die Wache wohl nicht mehr..."
Filename:       SPWELLDO
Eng: "Well done Red - you've found the old fool's vodka.  Press the 'Q' key to select it and the 'Return' key to use it."
Fre: "Bravo, Red. Vous avez trouvÇ la vodka de l'abruti. Appuyez sur la touche 'A' pour la sÇlectionner et sur 'Retour' pour l'utiliser."
Ita: "Bravo Red; avete trovato la vodka di quel vecchio imbecille. Premete il tasto 'Q' per selezionarla e il tasto 'Invio' per usarla." 
Spa: "≠Muy Bien, Red! Ha encontrado el vodka del viejo est£pido. Pulse la tecla 'Q' para seleccionarlo y la tecla 'retorno' para usarlo."
Ger: "Gut gemacht, Red - Sie haben den Wodka des alten Trottels gefunden. Sie wÑhlen ihn mit 'Q' und benutzen ihn mit der Eingabetaste."
Filename:       SPYOUREN
Eng: "You're now ready for your first mission.  Good luck, Red!"
Fre: "Vous àtes pràt pour votre premiäre mission. Bonne chance, Red !"
Ita: "Ora siete pronto per la vostra prima missione. Buona fortuna Red!"
Spa: "Ya est† preparado para su primera misi¢n. ≠Buena suerte, Red!
Ger: "Jetzt sind Sie bereit fÅr Ihren ersten Einsatz. Viel GlÅck, Red!"
Filename:       S7YOULOO
Eng: "You look familiar ! ...(hick)... familiar.. I am supposed to deliver a large crate...(hick)...to the airfield but I can't see it"
Fre: "Je suis censÇ livrer une grosse caisse de marchandises... (hic)... au terrain d'aviation, mais je n'arrive pas Ö la trouver... toutes ces allÇes et venues pour trouver la caisse m'ont donnÇ soif... (hic)... si ce foutu garde n'avait pas pris ma vodka... (hic)"
Ita: "Devo consegnare una grossa cassa...(singhiozzo)...al campo d'aviazione ma non riesco a trovarla...tutto questo gironzolare per quella cassa mi sta mettendo sete...(singhiozzo)... accidenti alla guardia che mi ha preso la (singhiozzo) vodka..."
Spa: "Se supone que tengo que entregar una caja grande de mercanc°as... (hip)... al aer¢dromo, pero no consigo encontrarla... Tanto andar buscando la caja me est† dando sed... (hip)... ≠Maldito sea el guardia por quitarme el vodka (hip)!
Ger: "Ich soll eine gro·e Frachtkiste... (hicks) ...zum Flugplatz bringen, aber irgendwie find ich sie nicht... diese Sucherei nach der Kiste macht ganz schîn Durst... (hicks) ...der Teufel soll die Wache holen, die (hicks) mir den Wodka abgenommen hat..."
Filename:       S7IMONMY
Eng: "Yes, yes, I am on my way...(hick)...just taking a little break before I deliver your precious cargo...(hick)...all this walking is making me thirsty...a little drink would help me along...yes, a little drink..."
Fre: "Oui, oui, j'y vais... (hic)... je fais juste une petite pause avant de livrer votre prÇcieuse marchandise... (hic)... tout áa m'a donnÇ soif... un petit coup Ö boire m'encouragerait un peu... oui, quelque chose Ö boire..."
Ita: "Sç, sç, vado...(singhiozzo)...sto solo facendo una piccola pausa prima di consegnare il vostro prezioso carico...(singhiozzo)...tutto questo camminare mi sta mettendo sete... mi ci vorrebbe un goccetto... sç, un goccetto..."
Spa: "S°, s°, ya voy... (hip)... Me estoy tomando un descansito antes de entregar su preciosa carga... (hip)... Tanto andar me est† dando sed... Un trago me vendr°a de perillas... Si, un traguito me vendr°a de perillas..."
Ger: "Ja, ja, bin schon unterwegs... (hicks) ...mache nur 'ne kleine Pause, bevor ich Ihre wertvolle Fracht abliefere... (hicks) ...diese Latscherei macht ganz schîn Durst... ein kleiner Drink wÅrde mir helfen... ja, ein kleiner Drink..."
Filename:       S7NOWWEU
Eng: "Ahh, now we understand each other perfectly! This is just...(hick)...what I need.  Tell the guards that you're delivering, uh...personal cargo for the General"
Fre: " Ah ! Enfin quelqu'un qui me comprend ! C'est exactement... (hic)... ce qu'il me faut ! Prenez mon camion et livrez la caisse Ö ma place... (hic)... c'est une livraison personnelle pour le Major. Il vous attend... quant Ö moi, il faut que je m'allonge un peu..."
Ita: "Ah! Adesso sç che ci siamo! Questo ä proprio...(singhiozzo)...quello che ci vuole! Prendete il mio camion e consegnate la cassa al posto mio...(singhiozzo)... ä un carico personale per il Maggiore; lo sta aspettando... io vado a sdraiarmi un po'..."
Spa: "≠Ah! Parece que nos entendemos, ®eh?... ≠Esto es exactamente... (hip)... lo que necesitaba! Coja ustÇ mi cami¢n y entregue la caja por m°... hip... es una carga personal para el mayor... la estar† esperando. Mientras tanto, yo voy a echarme un ratito..."
Ger: "Ah! Jetzt verstehen wir uns! Das ist genau das,... (hicks) ...was ich brauche! Nehmen Sie meinen Laster, und liefern Sie die Kiste fÅr mich aus... (hicks) ...ist persînliche Fracht fÅr den Major - er wartet schon darauf... und ich, ja, ich leg mich erst mal ein bi·chen hin..."
Filename:       SPDURING
Eng: "During your missions, you will find a variety of vehicles.  To use a vehicle, walk up to it and press the right mouse button.  You can leave a vehicle by pressing the same button."
Fre: "Encore une information, Red. Pendant vos missions, vous trouverez diffÇrents vÇhicules. Pour vous en servir, rapprochez-vous et appuyez sur le bouton droit de la souris. Vous pouvez abandonner un vÇhicule en appuyant sur le màme bouton. Bonne chance !"
Ita: "Un'altra informazione per voi, Red; durante la vostra missione troverete diversi veicoli. Per usarne uno, camminate verso un veicolo e premete il pulsante destro del mouse. Per lasciare un veicolo, premete lo stesso pulsante. Buona fortuna!"
Spa: "Una informaci¢n m†s, Red: durante sus misiones, encontrar† diversos veh°culos. Para usarlos, camine hasta ellos y pulse el bot¢n derecho del rat¢n. Para salir del veh°culo, pulse Çse mismo bot¢n. ≠Buena suerte!"
Ger: "Noch eine Information fÅr Sie, Red - wÑhrend Ihrer EinsÑtze werden Sie auf verschiedene Fahrzeuge sto·en. Um eins davon zu benutzen, stellen Sie sich davor, und drÅcken Sie die rechte Maustaste. DrÅcken Sie die gleiche Taste, um wieder auszusteigen. Viel GlÅck!"
Filename:       SGSHOOTT
Eng: "Shoot the traitor!"
Fre: "Tirez sur le traåtre !"
Ita: "Sparate al traditore!"
Spa: "≠Acabad con el traidor!"
Ger: "Erschie·t den VerrÑter!"
Filename:       SGANINTR
Eng: "An intruder - shoot him!"
Fre: "Un intrus ! Tirez dessus !"
Ita: "Un intruso; sparate!"
Spa: "≠Un intruso! ≠Disparadle!
Ger: "Ein Eindringling - erschie·t ihn!"
Filename:       SOTHISRO
Eng: "This road has been sealed off with landmines - take another route."
Fre: "Cette route est truffÇe de mines. Prenez un autre chemin."
Ita: "Questa strada ä piena di mine terrestri; passate da un'altra parte."
Spa: "Esta carretera est† cortada con minas. Siga otra ruta."
Ger: "Diese Stra·e ist wegen Minen unpassierbar - nehmen Sie eine andere Route."
Filename:       SOWHATAR
Eng: "What are you doing here?  Get back to your post soldier!"
Fre: "Qu'est-ce que vous faites lÖ ? Retournez Ö votre poste, soldat !"
Ita: "Cosa state facendo qui? Tornate al vostro posto soldato!"
Spa: "®QuÇ est† haciendo aqu°? ≠Vuelva a su puesto, soldado!"
Ger: "Was machen Sie hier? ZurÅck auf Ihren Posten, Soldat!"
Filename:       SGYOUREL
Eng: "Where is the usual driver? Drunk again?  The Major's delivery is late - get it to the airfield, quickly!"
Fre: "Oó est le chauffeur habituel ? Encore saoul ? La livraison du Major est en retard. Amenez-la immÇdiatement au terrain d'aviation !"
Ita: "Dov'ä il solito autista? Di nuovo ubriaco? La consegna per il Maggiore ä in ritardo; portatela al campo d'aviazione, immediatamente!"
Spa: "®D¢nde est† el conductor habitual? ®Borracho otra vez? ≠La entrega para el Mayor lleva retraso! ≠Vete r†pidamente al aer¢dromo! 
Ger: "Wo ist der Åbliche Fahrer? Mal wieder besoffen? Der Major wartet schon - bringen Sie die Lieferung zum Flugplatz, aber schnell!"
Filename:       SOAREYOU
Eng: "Are you disobeying a direct order?  Then I have no other choice but to shoot you!"
Fre: "Comptez-vous dÇsobÇir Ö un ordre direct ? Alors, je vais àtre obligÇ de vous tuer !"
Ita: "State disobbedendo ad un ordine? In questo caso sono costretto a spararvi!"
Spa: "®Est† desobedeciendo a una orden directa? ≠En ese caso, voy a tener que pegarle un tiro!"
Ger: "Verweigern Sie den Gehorsam? Dann habe ich keine andere Wahl, als Sie zu erschie·en!"
Filename:       SGWHEREI
Eng: "Where is the crate you idiot?  You were supposed to deliver a crate!"
Fre: "Oó est la caisse, idiot ? Vous Çtiez censÇ livrer une caisse !"
Ita: "Idiota, dov'ä la cassa? Dovevate consegnare una cassa!"
Spa: "®D¢nde est† la caja, imbÇcil? ≠Ten°a que entregar una caja!
Ger: "Wo ist die Kiste, Sie Idiot? Sie sollten eine Kiste liefern!"
Filename:       SGJUSTAR
Eng: "Halt!  Just a routine check - please step out of the truck and show me your papers."
Fre: "Halte-lÖ ! VÇrification de routine. Sortez du camion et montrez-moi vos papiers."
Ita: "Alt! Un normale controllo; uscite dal camion e mostratemi i documenti."
Spa: "≠Alto! Control de rutina. Salga del veh°culo y ensÇ§eme sus papeles."
Ger: "Halt! Reine Routinestichprobe - bitte steigen Sie aus, und zeigen Sie mir Ihre Papiere."
Filename:       SGICANNO
Eng: "I cannot allow you to enter the airfield without seeing your papers - now move your vehicle from the road!"
Fre: "Je ne peux pas vous laisser entrer sur le terrain d'aviation sans avoir vu vos papiers. Garez-vous sur le cìtÇ !"
Ita: "Non posso farvi entrare nel campo d'aviazione senza aver visto i vostri documenti; togliete il veicolo dalla strada!"
Spa: "No puedo permitirle entrar al aer¢dromo sin ver sus papeles primero. ≠Aparte su cami¢n de la carretera!"
Ger: "Ich kann Sie nicht auf den Flugplatz lassen, wenn ich Ihre Papiere nicht gesehen habe - machen Sie die Stra·e frei!"
Filename:       SGWHATAR
Eng: "What are you waiting for idiot?  Show me your papers!"
Fre: "Qu'est-ce que vous attendez, imbÇcile ? Montrez-moi vos papiers !"
Ita: "Idiota cosa state aspettando? Fatemi vedere i documenti!"
Spa: "®A quÇ est† esperando, idiota? ≠EnsÇ§eme los papeles!
Ger: "Worauf warten Sie, Sie Idiot? Zeigen Sie mir Ihre Papiere!"
Filename:       SGYOURPA
Eng: "Hmm...your papers seem to be in order.  Park the truck in the hangar to your left - get moving!" 
Fre: "Hum... Vos papiers ont l'air d'àtre en rägle. Garez le camion dans le hangar sur la gauche. Et plus vite que áa !"
Ita: "Mm...sembra che i vostri documenti siano a posto. Parcheggiate il camion nel capannone alla vostra sinistra; sbrigatevi!"
Spa: "Mmmm... Parece que sus papeles est†n en orden. Aparque el cami¢n en el hangar de la izquierda... ≠Y rapidito!"
Ger: "Hmm... Ihre Papiere scheinen okay zu sein. Parken Sie den Laster im Hangar dort links - auf geht's!"
Filename:       SORETURN
Eng: "Return to your duties, soldier."
Fre: "Retournez Ö votre poste, soldat !"
Ita: "Soldato, ritornate ai vostri compiti."
Spa: "Vuelva a sus tareas, soldado."
Ger: "Machen Sie sich wieder an Ihre Aufgabe, Soldat."
Filename:       SRTHISIS
Eng: "This isn't the building I'm looking for."
Fre: "Ce n'est pas le bÉtiment que je cherche."
Ita: "Questo non ä il palazzo che sto cercando."
Spa: "Este no es el edificio que busco."
Ger: "Das ist nicht das GebÑude, das ich suche."
Filename:       SRTHISBU
Eng: "This building seems to be the right one...damn, it's locked!  I need something to pick the lock with..."
Fre: "Äa a l'air d'àtre le bon bÉtiment... Bon sang ! Il est fermÇ Ö clÇ. Il me faut quelque chose pour crocheter la serrure..."
Ita: "Questo edificio sembra quello giusto... maledizione, ä chiuso a chiave! Ho bisogno di qualcosa con cui forzare la serratura..."
Spa: "Este parece el edificio que busco... Maldita sea, ≠est† cerrado con llave! Necesito algo para abrir la cerradura..."
Ger: "Das scheint das richtige GebÑude zu sein... Mist, abgeschlossen! Ich brauch irgendwas, um das Schlo· zu knacken..."
Filename:       SRHAHTOO
Eng: "Ha! - Too easy."
Fre: "Ah ! Trop facile."
Ita: "Ah! Troppo facile."
Spa: "≠Ja! ≠QuÇ f†cil!
Ger: "Ha! - Zu einfach."
Filename:       SRWHATAN
Eng: "What an ugly moose head!  Looks as if it's about to fall off at any minute..."
Fre: "Quelle horrible tàte d'Çlan ! On dirait qu'elle va tomber..."
Ita: "Che brutta testa d'alce! Sembra che possa cadere in qualsiasi momento..."
Spa: "≠QuÇ cabeza de alce m†s horrible! Parece que va a caerse de un momento a otro..."
Ger: "Was fÅr ein hÑ·licher Elch! Sieht aus, als wollte er jeden Moment runterkommen..."
Filename:       SRTHEMOO
Eng: "The moose head has revealed some sort of combination code! ...4 Left, 3 right then 3 left."
Fre: "La tàte d'Çlan cachait une espäce de combinaison ! ...4 gauche, 3 droite et 3 gauche."
Ita: "La testa d'alce ha rivelato il codice di una combinazione!...4 a sinistra, 3 a destra poi 3 a sinistra."
Spa: "≠La cabeza de alce me ha revelado una especie de c¢digo o combinaci¢n...! 4 a la izquierda, 3 a la derecha, y despuÇs 3 a la izquierda."
Ger: "Der Elch hat irgendeine Art Kombination freigegeben! ...4 links, 3 rechts, dann 3 links."
Filename:       SRAHAFOU
Eng:  "Aha!  Found the safe...now let's see if I can open it...<click, click>...damn, I need the combination code...it must be around here somewhere..."
Fre: "Ah ah ! J'ai trouvÇ le coffre... Voyons voir si jeu peux l'ouvrir... <clic, clic>... Bon sang ! J'ai besoin de la combinaison... Elle ne doit pas àtre bien loin..."
Ita: "Ah! Ho trovato la cassaforte...ora vediamo se riesco ad aprirla...<scatti della serratura>...dannazione, ho bisogno del codice della combinazione...deve essere qui da qualche parte..."
Spa: "≠Aj†! Aqu° est† la caja fuerte... Ahora veamos si logro abrirla... <clic, clic>... maldita sea, necesito la combinaci¢n... Debe estar por aqu°, en alguna parte..."
Ger: "Aha! Da ist der Safe... mal sehen, ob ich ihn aufkriege... <klick, klick> ...verdammt, ich brauch die Kombination... sie mu· hier irgendwo versteckt sein..."
Filename:       SRLETSTR
Eng: "Aha!  Here's the safe...now let's try that combination code I found behind the moose head...<click, click>...perfect!"
Fre: "Ah ah ! VoilÖ le coffre... Essayons maintenant la combinaison que j'ai trouvÇe derriäre la tàte d'Çlan... <clic, clic>... Parfait !"
Ita: "Ah! Ecco la cassaforte...ora proviamo quel codice che ho trovato dietro la testa dell'alce...<scatti della serratura>...perfetto!"
Spa: "≠Aj†! Aqu° est† la caja fuerte... Ahora, veamos si funciona la combinaci¢n que encontrÇ detr†s de la cabeza del alce...<clic, clic>... ≠Perfecto!"
Ger: "Aha! Hier ist der Safe... probieren wir mal die Kombination, die ich hinter dem Elch gefunden habe... <klick, klick> ...perfekt!"
Filename:       SSGENERA
Eng: "General, we are in the last phase of completing the rocket ramp.  Our Ghost Rockets will be undetectable and reach further than any weapon in history.  London will be turned to ashes in less than 5 days.  As a protective measure, I've mined the roads around the airfield so that the construction can be completed without the risk of enemy attacks.  Anti-aircraft guns have also been positioned to assure protection from aerial assaults.  I hope you will be satisfied with my work, and I will keep you up-to-date with our progress until work is complete.  Signed, Major Stromb."
Fre: "GÇnÇral, nous sommes dans la derniäre phase d'Çlaboration de la rampe de lancement. Nos Roquettes Fantìmes seront indÇtectables et auront une portÇe beaucoup plus grande que n'importe quelle arme existante. Londres sera dÇtruite en moins de 5 jours. Par mesure de protection, j'ai fait miner les routes autour du terrain d'aviation pour que la construction puisse se terminer sans risque d'attaques ennemies. Des canons antiaÇriens ont Çgalement ÇtÇ postÇs pour assurer une protection contre d'Çventuelles attaques aÇriennes. J'espäre que vous serez satisfait de mon travail. Je vous tiendrai au courant de la progression jusqu'Ö la fin des travaux. SignÇ, Major Stromb."
Ita: "Generale, stiamo per completare la rampa di lancio del missile. I nostri Missili Fantasma non sono individuabili e coprono una distanza mai raggiunta da altre armi. Londra verrÖ rasa al suolo in meno di 5 giorni. Come misura di sicurezza, ho minato le strade che circondano il campo d'aviazione per evitare che la costruzione possa essere minacciata da attacchi nemici. Inoltre sono stati posizionati anche delle mitragliatrici antiaeree per proteggersi dagli attacchi aerei. Spero siate soddisfatto del mio lavoro, vi aggiornerï sui nostri progressi fino a lavoro terminato. Firmato, Maggiore Stromb." 
Spa: "General, hemos alcanzado la £ltima fase de desarrollo de la rampa del cohete. Nuestros cohetes fantasma ser†n indetectables y tendr†n el mayor alcance de la historia. En menos de cinco d°as, Londres quedar† reducido a cenizas. Como medida de protecci¢n, he colocado minas en las carreteras alrededor del aer¢dromo, para poder concluir la construcci¢n de las rampas sin el riesgo de ataques enemigos. Adem†s, hemos colocado ca§ones antiaÇreos, que nos proteger†n de posibles ataques aÇreos. Espero que estÇ satisfecho con mi trabajo. Le mantendrÇ informado de nuestros progresos hasta que hayamos concluido los trabajos. Firmado, mayor Stromb."
Ger: "General, wir befinden uns in der letzten Phase des Baus der Raketenrampe. Unsere Phantomraketen sind nicht zu entdecken und fliegen weiter als jede Waffe der Geschichte. London wird in weniger als 5 Tagen in Schutt und Asche liegen. Zur Vorsicht habe ich die Stra·en um den Flugplatz verminen lassen, damit der Bau ohne das Risiko gegnerischer Angriffe abgeschlossen werden kann. Au·erdem wurden Flugabwehrkanonen aufgestellt, um Schutz vor Luftangriffen zu gewÑhrleisten. Ich hoffe, Sie sind mit meiner Arbeit zufrieden. Ich halte Sie weiter auf dem Laufenden, bis die Arbeiten abgeschlossen sind. Gezeichnet, Major Stromb."
Filename:       SOASPYSO
Eng: "A spy!  Sound the alarm!"
Fre: " Un espion ! DÇclenchez l'alerte !"
Ita: "Una spia! Suonare l'allarme!"
Spa: "≠Un esp°a! ≠Den la alarma!"
Ger: "Ein Spion! Alarm auslîsen!"
Filename:       SRTHISCA
Eng: "This car might come in handy later..."
Fre: "Cette voiture pourrait àtre utile un peu plus tard..."
Ita: "Questa macchina potrebbe essermi utile pió tardi..."
Spa: "Este coche me podr°a venir bien m†s tarde..."
Ger: "Dieser Wagen kînnte noch nÅtzlich sein..."
Filename:       SRCOMEON
Eng: "Come on, start you damn thing!"
Fre: "Allez, dÇmarre, saloperie !"
Ita: "Dai, parti, dannata macchina!"
Spa: "≠Arranca, arranca, maldita sea!"
Ger: "Komm schon, spring an, du MiststÅck!"
Filename:       SRYESGOT
Eng: "Got it! "
Fre: "Äa y est !"
Ita: "Fatto"
Spa: "≠As° me gusta!"
Ger: "Geschafft !"
Filename:       SODONTLE
Eng: "Don't let him escape - blow the bridge!"
Fre: "Ne le laissez pas s'Çchapper ! Faites sauter le pont !"
Ita: "Non fatelo scappare; fate saltare il ponte!"
Spa: "≠No permitan que escape! ≠Vuelen el puente!"
Ger: "La·t ihn nicht entkommen - sprengt die BrÅcke!"
Filename:       SGYESSIR
Eng: "Yes sir!"
Fre: "A vos ordres !"
Ita: "Sç signore!"
Spa: "≠S° se§or!"
Ger: "Jawohl!"
Filename:       SPREDY02
Eng: "Red, you're going back to the same area as before so should know your way around by now.  The 'Ghost Rocket' launch site is located North-West of the village."
Fre: "Red, vous allez retourner au màme endroit, donc vous devriez pouvoir vous repÇrer, maintenant. Le site de lancement de la 'Roquette Fantìme' se situe au nord-ouest du village."
Ita: "Red, tornerete nella stessa zona di prima quindi ormai vi dovreste saper orientare. Il luogo di lancio del 'Missile Fantasma' si trova a nord-ovest del villaggio."
Spa: "Red, va a volver a la misma zona que antes, as° que ya debe conocer el camino. La base de lanzamiento del 'cohete fantasma' se sit£a al noroeste del pueblo."
